,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description,Date
0,Kemijarvi,66.7131,27.4306,30.11,97,100,10.63,FI,snow,2021-04-23 02:05:18
1,Ushuaia,-54.8,-68.3,41.0,93,75,11.5,AR,broken clouds,2021-04-23 02:04:34
2,Cernay,47.8097,7.177,43.0,65,0,5.75,FR,clear sky,2021-04-23 02:05:18
3,Poum,-20.2333,164.0167,79.0,77,100,5.91,NC,overcast clouds,2021-04-23 02:05:18
4,New Norfolk,-42.7826,147.0587,57.0,67,100,5.01,AU,overcast clouds,2021-04-23 02:05:19
5,Altay,47.8667,88.1167,31.59,47,70,2.93,CN,broken clouds,2021-04-23 02:05:19
6,Tasiilaq,65.6145,-37.6368,28.4,54,75,13.8,GL,broken clouds,2021-04-23 02:05:20
7,Jezerski,44.9808,16.0842,50.0,40,100,2.89,BA,overcast clouds,2021-04-23 02:05:20
8,Norman Wells,65.282,-126.8329,28.4,59,75,10.36,CA,broken clouds,2021-04-23 02:05:20
9,Hithadhoo,-0.6,73.0833,82.85,71,80,6.29,MV,broken clouds,2021-04-23 02:05:20
10,Jatiroto,-7.8833,111.1167,80.26,66,28,3.31,ID,scattered clouds,2021-04-23 02:05:21
11,Ambilobe,-13.2,49.05,72.45,88,99,3.53,MG,overcast clouds,2021-04-23 02:05:21
12,Coquimbo,-29.9533,-71.3436,59.0,88,90,3.44,CL,overcast clouds,2021-04-23 02:02:54
13,Kaitangata,-46.2817,169.8464,57.99,72,100,1.99,NZ,overcast clouds,2021-04-23 02:05:22
14,Upernavik,72.7868,-56.1549,16.39,89,100,4.45,GL,overcast clouds,2021-04-23 02:05:22
15,Jumla,29.2747,82.1838,48.29,52,0,3.13,NP,clear sky,2021-04-23 02:05:22
16,Longyearbyen,78.2186,15.6401,15.8,67,75,4.61,SJ,broken clouds,2021-04-23 02:05:22
17,Pushkinskiye Gory,57.0209,28.9103,34.16,84,83,7.92,RU,broken clouds,2021-04-23 02:05:23
18,Mataura,-46.1927,168.8643,61.34,51,100,6.04,NZ,moderate rain,2021-04-23 02:05:23
19,Kapaa,22.0752,-159.319,78.8,65,20,10.36,US,few clouds,2021-04-23 02:05:23
20,Nikolskoye,59.7035,30.7861,43.0,81,75,6.71,RU,moderate rain,2021-04-23 02:05:24
21,Yellowknife,62.456,-114.3525,15.8,57,90,14.97,CA,light snow,2021-04-23 02:05:24
22,Avarua,-21.2078,-159.775,82.4,69,40,18.41,CK,scattered clouds,2021-04-23 02:05:25
23,Dikson,73.5069,80.5464,32.36,92,100,23.58,RU,overcast clouds,2021-04-23 02:05:25
24,Pevek,69.7008,170.3133,23.4,75,19,6.69,RU,few clouds,2021-04-23 02:05:25
25,Mehamn,71.0357,27.8492,32.18,79,97,0.54,NO,overcast clouds,2021-04-23 02:05:25
26,Grindavik,63.8424,-22.4338,44.6,81,90,29.93,IS,overcast clouds,2021-04-23 02:05:26
27,Khatanga,71.9667,102.5,27.43,92,99,15.14,RU,overcast clouds,2021-04-23 02:05:26
28,Aklavik,68.2191,-135.0107,24.8,46,97,1.14,CA,overcast clouds,2021-04-23 02:05:26
29,Fortuna,40.5982,-124.1573,54.0,87,20,13.8,US,few clouds,2021-04-23 02:05:27
30,Rikitea,-23.1203,-134.9692,78.04,77,100,14.36,PF,overcast clouds,2021-04-23 02:05:27
31,Biak,-0.9131,122.8766,83.16,68,90,3.69,ID,overcast clouds,2021-04-23 02:05:27
32,Punta Arenas,-53.15,-70.9167,46.4,87,75,5.75,CL,light rain,2021-04-23 02:02:14
33,Praia,14.9215,-23.5087,68.0,77,20,16.11,CV,few clouds,2021-04-23 02:05:28
34,Bongandanga,1.5,21.05,69.33,96,89,1.66,CD,light rain,2021-04-23 02:05:28
35,Albany,42.6001,-73.9662,37.99,43,14,1.99,US,few clouds,2021-04-23 02:05:28
36,Busselton,-33.65,115.3333,66.0,69,44,4.0,AU,scattered clouds,2021-04-23 02:05:29
37,Qaanaaq,77.484,-69.3632,17.51,78,100,7.99,GL,overcast clouds,2021-04-23 02:05:29
38,Bac Lieu,9.285,105.7244,81.05,78,100,14.79,VN,light rain,2021-04-23 02:00:51
39,Balakhta,55.38,91.6,32.18,59,1,11.5,RU,clear sky,2021-04-23 02:05:29
40,Lucapa,-8.4192,20.7447,65.12,95,35,2.77,AO,light rain,2021-04-23 02:05:30
41,Along,28.1667,94.7667,70.84,85,71,1.1,IN,broken clouds,2021-04-23 02:05:30
42,Lagoa,39.05,-27.9833,56.28,79,5,39.08,PT,clear sky,2021-04-23 02:05:30
43,Bambous Virieux,-20.3428,57.7575,73.99,94,40,8.05,MU,light rain,2021-04-23 02:05:31
44,Mar Del Plata,-38.0023,-57.5575,66.99,94,0,3.44,AR,clear sky,2021-04-23 02:01:02
45,Luoyang,34.6836,112.4536,65.55,59,87,8.68,CN,overcast clouds,2021-04-23 02:04:24
46,Port Alfred,-33.5906,26.891,66.47,81,0,19.75,ZA,clear sky,2021-04-23 02:05:31
47,Tuktoyaktuk,69.4541,-133.0374,12.2,73,20,4.61,CA,few clouds,2021-04-23 02:05:32
48,Los Llanos De Aridane,28.6585,-17.9182,64.4,77,0,2.3,ES,clear sky,2021-04-23 02:05:32
49,Butaritari,3.0707,172.7902,82.76,73,98,9.24,KI,overcast clouds,2021-04-23 02:05:32
50,Macau,22.2006,113.5461,82.4,78,0,8.05,MO,clear sky,2021-04-23 02:05:32
51,Egvekinot,66.3167,-179.1667,30.16,81,21,1.21,RU,few clouds,2021-04-23 02:05:33
52,Forbes,-33.3833,148.0167,62.8,44,21,8.75,AU,few clouds,2021-04-23 02:05:33
53,Imbituba,-28.24,-48.6703,68.0,83,0,5.75,BR,clear sky,2021-04-23 02:05:33
54,Woodward,36.4337,-99.3904,46.4,87,90,14.97,US,overcast clouds,2021-04-23 02:05:34
55,Ilhabela,-23.7781,-45.3581,68.9,83,44,6.26,BR,scattered clouds,2021-04-23 02:05:34
56,Kodiak,57.79,-152.4072,42.8,93,90,12.66,US,moderate rain,2021-04-23 02:05:34
57,Walvis Bay,-22.9575,14.5053,64.4,72,47,5.75,NA,scattered clouds,2021-04-23 02:05:35
58,Thompson,55.7435,-97.8558,19.4,68,75,12.66,CA,light snow,2021-04-23 02:05:35
59,Shimoda,34.6667,138.95,57.2,58,20,17.27,JP,few clouds,2021-04-23 02:05:35
60,Callaway,30.153,-85.5699,63.0,42,1,5.75,US,clear sky,2021-04-23 02:05:36
61,Maarianhamina,60.0973,19.9348,35.6,93,75,12.66,AX,broken clouds,2021-04-23 02:05:36
62,Puerto Ayora,-0.7393,-90.3518,77.0,93,43,4.0,EC,scattered clouds,2021-04-23 02:05:37
63,Castro,-24.7911,-50.0119,52.52,94,13,3.58,BR,few clouds,2021-04-23 02:05:37
64,Souillac,-20.5167,57.5167,73.4,94,40,8.05,MU,light rain,2021-04-23 02:05:37
65,Sao Filipe,14.8961,-24.4956,71.85,74,37,11.59,CV,scattered clouds,2021-04-23 02:05:37
66,Ribeira Grande,38.5167,-28.7,57.47,75,11,34.69,PT,few clouds,2021-04-23 02:05:38
67,Araouane,18.9048,-3.5265,86.04,12,2,5.3,ML,clear sky,2021-04-23 02:05:38
68,Hami,42.8,93.45,48.22,28,100,7.72,CN,overcast clouds,2021-04-23 02:05:38
69,Bluff,-46.6,168.3333,57.81,66,100,12.93,NZ,light rain,2021-04-23 02:05:39
70,Nouadhibou,20.931,-17.0347,64.4,82,0,17.27,MR,clear sky,2021-04-23 02:05:39
71,Shingu,33.7333,135.9833,73.4,49,40,11.5,JP,scattered clouds,2021-04-23 02:05:39
72,Torbay,47.6666,-52.7314,43.0,100,90,25.32,CA,light rain,2021-04-23 02:03:19
73,Lavrentiya,65.5833,-171.0,33.89,74,100,1.68,RU,overcast clouds,2021-04-23 02:05:40
74,Vaini,-21.2,-175.2,84.2,84,75,5.75,TO,light rain,2021-04-23 02:05:40
75,Juquia,-24.3208,-47.6347,62.83,92,58,1.7,BR,broken clouds,2021-04-23 02:05:40
76,Xudat,41.631,48.681,51.57,87,41,8.57,AZ,scattered clouds,2021-04-23 02:05:41
77,Atuona,-9.8,-139.0333,80.64,80,85,21.09,PF,light rain,2021-04-23 02:05:41
78,Severo-Kurilsk,50.6789,156.125,35.98,92,73,4.18,RU,broken clouds,2021-04-23 02:05:41
79,Escanaba,45.7453,-87.0646,41.0,75,1,5.06,US,clear sky,2021-04-23 02:05:42
80,Csengod,46.7154,19.268,46.99,65,0,6.91,HU,clear sky,2021-04-23 02:05:42
81,Arman,59.7,150.1667,32.11,98,100,4.72,RU,snow,2021-04-23 02:05:42
82,Paamiut,61.994,-49.6678,31.96,82,20,4.54,GL,few clouds,2021-04-23 02:05:43
83,Namibe,-15.1961,12.1522,78.57,83,29,1.83,AO,scattered clouds,2021-04-23 02:05:43
84,Hermanus,-34.4187,19.2345,55.0,91,0,1.01,ZA,clear sky,2021-04-23 02:05:43
85,Airai,-8.9266,125.4092,74.57,49,32,1.99,TL,scattered clouds,2021-04-23 02:05:44
86,Tuatapere,-46.1333,167.6833,57.45,68,100,6.02,NZ,light rain,2021-04-23 02:05:44
87,Komsomolskiy,40.4272,71.7189,48.2,61,1,6.91,UZ,clear sky,2021-04-23 02:05:44
88,Samana,19.2056,-69.3369,75.45,85,61,7.54,DO,broken clouds,2021-04-23 02:05:45
89,Dingle,10.9995,122.6711,89.11,55,100,11.97,PH,moderate rain,2021-04-23 02:05:45
90,Jiuquan,39.7432,98.5174,50.32,24,100,15.26,CN,overcast clouds,2021-04-23 02:05:45
91,Mahebourg,-20.4081,57.7,73.4,94,40,8.05,MU,light rain,2021-04-23 02:05:45
92,Hobart,-42.8794,147.3294,57.2,47,40,10.36,AU,scattered clouds,2021-04-23 02:05:46
93,Praya,14.9215,-23.5087,68.0,77,20,16.11,CV,few clouds,2021-04-23 02:05:28
94,Kahului,20.8947,-156.47,82.4,54,20,20.71,US,few clouds,2021-04-23 02:05:46
95,Vallenar,-28.5708,-70.7581,58.82,79,31,2.37,CL,scattered clouds,2021-04-23 02:05:46
96,Tocopilla,-22.092,-70.1979,65.89,73,34,7.14,CL,scattered clouds,2021-04-23 02:05:47
97,Jamestown,42.097,-79.2353,30.2,86,75,12.66,US,broken clouds,2021-04-23 02:03:40
98,Boden,65.8252,21.6886,32.0,86,90,14.97,SE,light snow,2021-04-23 02:05:47
99,Terrace Bay,48.7834,-87.1,35.6,80,11,4.61,CA,few clouds,2021-04-23 02:05:48
100,Bilibino,68.0546,166.4372,27.5,91,100,2.89,RU,overcast clouds,2021-04-23 02:05:48
101,Ilulissat,69.2167,-51.1,26.6,68,24,1.14,GL,few clouds,2021-04-23 02:05:48
102,Esperance,-33.8667,121.9,60.8,82,100,12.66,AU,overcast clouds,2021-04-23 02:05:49
103,Ponta Do Sol,32.6667,-17.1,62.01,82,100,1.99,PT,overcast clouds,2021-04-23 02:05:49
104,Barrow,71.2906,-156.7887,26.6,68,1,6.91,US,clear sky,2021-04-23 02:05:01
105,Saint-Philippe,-21.3585,55.7679,75.2,78,90,13.8,RE,moderate rain,2021-04-23 02:05:49
106,Vestmannaeyjar,63.4427,-20.2734,44.29,85,100,24.49,IS,overcast clouds,2021-04-23 02:05:50
107,Asau,46.4333,26.4,42.01,60,83,2.3,RO,broken clouds,2021-04-23 02:05:50
108,Upata,8.0086,-62.3989,73.89,78,99,6.22,VE,overcast clouds,2021-04-23 02:04:46
109,Bredasdorp,-34.5322,20.0403,51.8,93,3,2.3,ZA,clear sky,2021-04-23 02:05:51
110,Lebu,-37.6167,-73.65,50.79,77,44,2.1,CL,scattered clouds,2021-04-23 02:05:51
111,Krasnoselkup,65.7,82.4667,28.89,86,50,16.67,RU,scattered clouds,2021-04-23 02:05:51
112,Fairbanks,64.8378,-147.7164,55.0,28,1,11.5,US,clear sky,2021-04-23 02:01:50
113,Chokurdakh,70.6333,147.9167,6.58,90,89,5.23,RU,overcast clouds,2021-04-23 02:05:52
114,Nyanza,-2.3519,29.7509,66.2,88,75,2.3,RW,broken clouds,2021-04-23 02:05:52
115,Banda Aceh,5.5577,95.3222,83.3,71,98,9.98,ID,overcast clouds,2021-04-23 02:05:52
116,Sept-Iles,50.2001,-66.3821,39.99,100,100,3.44,CA,overcast clouds,2021-04-23 02:02:02
117,Hilo,19.7297,-155.09,80.6,54,75,9.22,US,broken clouds,2021-04-23 02:05:53
118,Athabasca,54.7169,-113.2854,33.8,32,100,9.22,CA,overcast clouds,2021-04-23 02:05:53
119,Dawlatabad,36.4141,64.9053,59.41,22,3,3.74,AF,clear sky,2021-04-23 02:05:53
120,Mandalgovi,45.7625,106.2708,51.03,44,100,16.26,MN,overcast clouds,2021-04-23 02:05:54
121,Evensk,61.95,159.2333,29.39,95,100,4.05,RU,light snow,2021-04-23 02:05:54
122,Saint George,37.1041,-113.5841,73.0,14,1,9.22,US,clear sky,2021-04-23 02:05:54
123,Omsukchan,62.5333,155.8,24.12,92,100,5.97,RU,light snow,2021-04-23 02:05:54
124,Arraial Do Cabo,-22.9661,-42.0278,72.95,76,7,21.12,BR,clear sky,2021-04-23 02:05:55
125,Cidreira,-30.1811,-50.2056,69.33,75,7,15.55,BR,clear sky,2021-04-23 02:05:55
126,Provideniya,64.3833,-173.3,41.0,48,0,11.18,RU,clear sky,2021-04-23 02:05:55
127,Fortuna Foothills,32.6578,-114.4119,78.8,22,1,8.05,US,clear sky,2021-04-23 02:05:56
128,Isparta,38.0,31.0,39.2,60,0,5.75,TR,clear sky,2021-04-23 02:05:56
129,Orebro,59.2741,15.2066,35.6,55,0,9.22,SE,clear sky,2021-04-23 02:05:56
130,Port Elizabeth,-33.918,25.5701,64.4,88,0,14.97,ZA,clear sky,2021-04-23 02:05:03
131,Quatre Cocos,-20.2078,57.7625,73.99,94,40,8.05,MU,light rain,2021-04-23 02:05:57
132,Mount Isa,-20.7333,139.5,80.6,18,7,13.8,AU,clear sky,2021-04-23 02:05:57
133,Sovetskaya,44.7769,41.1722,41.5,94,0,5.32,RU,clear sky,2021-04-23 02:05:57
134,Bathsheba,13.2167,-59.5167,78.8,65,40,20.71,BB,scattered clouds,2021-04-23 02:05:58
135,Coahuayana,18.7333,-103.6833,72.25,70,99,1.16,MX,overcast clouds,2021-04-23 02:05:58
136,Bethel,41.3712,-73.414,39.2,48,1,13.8,US,clear sky,2021-04-23 02:05:59
137,Leningradskiy,69.3833,178.4167,34.57,88,100,3.96,RU,overcast clouds,2021-04-23 02:05:59
138,Faanui,-16.4833,-151.75,81.3,73,12,13.76,PF,few clouds,2021-04-23 02:05:59
139,Sao Joao Da Barra,-21.6403,-41.0511,69.33,83,0,11.07,BR,clear sky,2021-04-23 02:03:59
140,Morondava,-20.2833,44.2833,75.06,68,0,1.03,MG,clear sky,2021-04-23 02:06:00
141,Te Anau,-45.4167,167.7167,51.64,81,100,6.58,NZ,light rain,2021-04-23 02:06:00
142,San Cristobal,7.7669,-72.225,82.4,69,20,3.44,VE,few clouds,2021-04-23 02:06:00
143,San Ramon,37.7799,-121.978,53.01,76,1,21.85,US,clear sky,2021-04-23 02:04:50
144,Singaparna,-7.3515,108.111,80.69,64,5,2.84,ID,clear sky,2021-04-23 02:06:01
145,Estevan,49.1334,-102.9842,44.6,49,1,27.63,CA,clear sky,2021-04-23 02:06:01
146,Bella Union,-30.2752,-57.6007,65.77,72,100,6.44,UY,overcast clouds,2021-04-23 02:06:01
147,Najran,17.4924,44.1277,66.2,20,0,2.95,SA,clear sky,2021-04-23 02:06:02
148,Brae,60.3964,-1.353,44.6,65,100,6.91,GB,overcast clouds,2021-04-23 02:06:02
149,Waipawa,-41.4122,175.5153,64.4,68,90,16.11,NZ,overcast clouds,2021-04-23 02:06:02
150,Wageningen,51.9667,5.6667,37.0,86,8,1.14,NL,clear sky,2021-04-23 02:06:03
151,Sosnovo-Ozerskoye,52.5249,111.5418,33.13,27,99,7.36,RU,overcast clouds,2021-04-23 02:06:03
152,Kysyl-Syr,63.8986,122.7617,29.68,87,100,9.44,RU,light snow,2021-04-23 02:06:04
153,Gat,31.61,34.7642,61.0,82,40,3.44,IL,scattered clouds,2021-04-23 02:03:01
154,Strezhevoy,60.7333,77.5889,30.2,59,40,8.95,RU,scattered clouds,2021-04-23 02:06:04
155,Srednekolymsk,67.45,153.6833,18.52,78,87,6.89,RU,overcast clouds,2021-04-23 02:06:04
156,Bonthe,7.5264,-12.505,80.29,85,45,4.56,SL,scattered clouds,2021-04-23 02:06:05
157,Carnarvon,-24.8667,113.6333,78.8,34,98,8.05,AU,overcast clouds,2021-04-23 02:06:05
158,Aktash,50.3,87.7333,11.41,85,100,2.89,RU,light snow,2021-04-23 02:06:05
159,Vao,-22.6667,167.4833,74.64,73,83,8.43,NC,broken clouds,2021-04-23 02:06:06
160,Preili,56.2944,26.7246,34.36,86,99,11.36,LV,overcast clouds,2021-04-23 02:06:06
161,Muros,42.7762,-9.0603,51.01,93,100,5.91,ES,overcast clouds,2021-04-23 02:06:06
162,Tabuk,17.4189,121.4443,85.64,56,81,3.33,PH,broken clouds,2021-04-23 02:06:07
163,Labuhan,-6.8844,112.2051,82.11,70,5,4.47,ID,clear sky,2021-04-23 02:06:07
164,Ginir,7.1333,40.7,55.96,81,97,3.69,ET,overcast clouds,2021-04-23 02:06:07
165,Teguldet,57.3064,88.1667,34.3,79,11,5.79,RU,few clouds,2021-04-23 02:06:08
166,Ugoofaaru,5.6667,73.0,83.16,72,23,8.84,MV,few clouds,2021-04-23 02:06:08
167,San Andres,12.5847,-81.7006,82.4,74,40,10.36,CO,scattered clouds,2021-04-23 02:02:17
168,Bilma,18.6853,12.9164,84.58,12,6,7.2,NE,clear sky,2021-04-23 02:06:09
169,Makinsk,52.6292,70.4169,33.8,49,72,10.63,KZ,broken clouds,2021-04-23 02:06:09
170,Ambovombe,-25.1667,46.0833,68.23,86,0,9.08,MG,clear sky,2021-04-23 02:06:09
171,Clyde River,70.4692,-68.5914,15.8,79,90,8.05,CA,overcast clouds,2021-04-23 02:03:48
172,Mahenge,-8.6833,36.7167,61.3,95,53,3.02,TZ,light rain,2021-04-23 02:06:10
173,Tuy Hoa,13.0833,109.3,85.42,68,86,0.81,VN,overcast clouds,2021-04-23 02:06:10
174,Deputatskiy,69.3,139.9,9.63,86,97,2.06,RU,overcast clouds,2021-04-23 02:06:10
175,Botshabelo,-29.2702,26.7052,51.8,82,44,8.05,ZA,light rain,2021-04-23 02:06:11
176,Marsabit,2.3284,37.9899,63.39,91,100,11.83,KE,light rain,2021-04-23 02:06:11
177,Severomorsk,69.0689,33.4162,32.0,93,40,4.47,RU,scattered clouds,2021-04-23 02:06:11
178,Cape Town,-33.9258,18.4232,57.99,94,90,12.66,ZA,mist,2021-04-23 02:04:19
179,Bosaso,11.2842,49.1816,82.98,67,11,6.35,SO,few clouds,2021-04-23 02:06:12
180,Tiksi,71.6872,128.8694,17.11,84,100,4.18,RU,overcast clouds,2021-04-23 02:06:12
181,Baruun-Urt,46.6806,113.2792,47.82,31,4,19.42,MN,clear sky,2021-04-23 02:06:12
182,Clarence Town,-32.5833,151.7833,68.0,37,0,12.66,AU,clear sky,2021-04-23 02:06:13
183,Blackwater,-23.5833,148.8833,68.95,47,100,6.89,AU,overcast clouds,2021-04-23 02:06:13
184,Nemencine,54.85,25.4833,37.0,80,90,10.36,LT,overcast clouds,2021-04-23 02:06:13
185,Kloulklubed,7.0419,134.2556,86.0,70,40,6.91,PW,scattered clouds,2021-04-23 02:06:14
186,Sorong,-0.8833,131.25,84.22,69,58,2.98,ID,broken clouds,2021-04-23 02:06:14
187,Olafsvik,64.8945,-23.7142,41.97,89,100,20.92,IS,light rain,2021-04-23 02:06:14
188,Ambon,-3.6954,128.1814,89.6,62,40,6.91,ID,scattered clouds,2021-04-23 02:06:15
189,Tabou,4.423,-7.3528,79.77,87,100,5.91,CI,overcast clouds,2021-04-23 02:06:15
190,Totness,5.8833,-56.3167,76.91,90,63,10.96,SR,broken clouds,2021-04-23 02:06:15
191,Terney,45.0503,136.6092,58.21,47,100,7.76,RU,overcast clouds,2021-04-23 02:06:16
192,Forio,40.7342,13.8646,57.99,89,100,4.0,IT,overcast clouds,2021-04-23 02:06:16
193,Puerto Escondido,15.85,-97.0667,82.4,78,40,6.91,MX,scattered clouds,2021-04-23 02:06:16
194,Victoria,22.2855,114.1577,82.0,65,0,4.38,HK,clear sky,2021-04-23 02:02:47
195,Ternate,0.8,127.4,84.13,71,22,4.41,ID,few clouds,2021-04-23 02:06:17
196,College,64.8569,-147.8028,53.6,40,1,11.5,US,clear sky,2021-04-23 02:06:17
197,Oxbow,49.2333,-102.1676,41.0,60,37,18.01,CA,scattered clouds,2021-04-23 02:06:17
198,Carman,49.4992,-98.0016,60.8,14,0,11.5,CA,clear sky,2021-04-23 02:06:18
199,Kavieng,-2.5744,150.7967,82.44,75,93,6.51,PG,light rain,2021-04-23 02:06:18
200,Henties Bay,-22.116,14.2845,64.0,87,14,1.99,NA,few clouds,2021-04-23 02:06:18
201,Oriximina,-1.7656,-55.8661,75.38,91,95,2.98,BR,moderate rain,2021-04-23 02:06:19
202,Manzhouli,49.6,117.4333,44.92,32,86,16.98,CN,overcast clouds,2021-04-23 02:06:19
203,Ngunguru,-35.6167,174.5,71.01,80,100,7.0,NZ,overcast clouds,2021-04-23 02:06:19
204,Zhangye,38.9342,100.4517,60.67,26,78,18.97,CN,broken clouds,2021-04-23 02:06:20
205,Olinda,-8.0089,-34.8553,78.8,78,40,3.44,BR,scattered clouds,2021-04-23 02:06:20
206,Georgetown,5.4112,100.3354,80.01,88,20,3.44,MY,few clouds,2021-04-23 02:06:20
207,Cabo San Lucas,22.8909,-109.9124,78.8,33,40,11.5,MX,scattered clouds,2021-04-23 02:03:53
208,Chifeng,42.2683,118.9636,54.41,66,100,2.95,CN,light rain,2021-04-23 02:06:21
209,Bereda,43.2686,-7.5406,48.99,100,59,1.01,ES,broken clouds,2021-04-23 02:06:21
210,Linjiang,41.8069,126.9078,60.58,49,100,9.35,CN,light rain,2021-04-23 02:06:21
211,Hirara,24.8,125.2833,77.0,83,75,19.57,JP,broken clouds,2021-04-23 02:06:22
212,Vung Tau,10.346,107.0843,77.94,86,100,13.91,VN,overcast clouds,2021-04-23 02:06:22
213,Thessalon,46.2501,-83.5666,37.4,52,1,10.94,CA,clear sky,2021-04-23 02:06:22
214,Alofi,-19.0595,-169.9187,84.2,74,40,11.5,NU,light rain,2021-04-23 02:06:23
215,Hokitika,-42.7167,170.9667,57.22,91,100,7.52,NZ,overcast clouds,2021-04-23 02:06:23
216,Ancud,-41.8697,-73.8203,51.01,100,90,8.05,CL,light intensity drizzle,2021-04-23 02:06:23
217,Atar,20.5169,-13.0499,75.96,14,0,7.45,MR,clear sky,2021-04-23 02:06:24
218,Bengkulu,-3.8004,102.2655,80.47,67,85,1.03,ID,overcast clouds,2021-04-23 02:06:24
219,Gerash,27.6652,54.1371,69.8,28,0,3.67,IR,clear sky,2021-04-23 02:06:24
220,Zhigansk,66.7697,123.3711,23.49,87,100,10.92,RU,overcast clouds,2021-04-23 02:06:25
221,Malaya Purga,56.5567,53.0043,37.99,89,100,1.01,RU,light rain,2021-04-23 02:06:25
222,West Plains,36.7281,-91.8524,51.8,37,1,5.75,US,clear sky,2021-04-23 02:06:25
223,Coari,-4.085,-63.1414,74.26,97,95,2.82,BR,overcast clouds,2021-04-23 02:06:26
224,Yenagoa,4.9247,6.2642,78.62,91,100,3.49,NG,overcast clouds,2021-04-23 02:06:26
225,Poli,-3.3333,36.8,69.8,100,75,11.5,TZ,broken clouds,2021-04-23 02:06:26
226,Iqaluit,63.7506,-68.5145,21.2,86,90,2.3,CA,overcast clouds,2021-04-23 02:06:26
227,Murray Bridge,-35.1167,139.2667,63.0,69,77,10.04,AU,broken clouds,2021-04-23 02:06:27
228,Alakurtti,66.9672,30.3491,30.99,84,100,4.0,RU,overcast clouds,2021-04-23 02:06:27
229,Bumba,2.1833,22.4667,70.41,97,100,2.59,CD,moderate rain,2021-04-23 02:06:27
230,Beloha,-25.1667,45.05,68.54,86,0,11.68,MG,clear sky,2021-04-23 02:06:28
231,Knysna,-34.0363,23.0471,59.0,100,0,5.75,ZA,clear sky,2021-04-23 02:06:28
