,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description,Date
232,Samarai,-10.6167,150.6667,83.19,74,99,4.29,PG,overcast clouds,2021-04-23 02:06:29
233,Vila Velha,-20.3297,-40.2925,73.4,78,40,8.05,BR,scattered clouds,2021-04-23 02:06:29
234,Nakonde,-9.3421,32.745,57.13,94,99,4.79,ZM,overcast clouds,2021-04-23 02:06:29
235,Port Lincoln,-34.7333,135.8667,64.67,53,41,10.36,AU,scattered clouds,2021-04-23 02:04:23
236,Yulara,-25.2406,130.9889,71.6,35,0,12.66,AU,clear sky,2021-04-23 02:06:30
237,Pontianak,-0.0333,109.3333,80.6,83,20,3.44,ID,few clouds,2021-04-23 02:03:14
238,Kafanchan,9.5833,8.3,74.59,67,100,2.08,NG,overcast clouds,2021-04-23 02:06:02
239,Riberalta,-10.9833,-66.1,77.95,81,100,2.89,BO,overcast clouds,2021-04-23 02:02:24
240,San Juan,-31.5375,-68.5364,63.32,48,12,8.68,AR,few clouds,2021-04-23 02:06:30
241,Noumea,-22.2763,166.4572,81.0,73,75,10.36,NC,broken clouds,2021-04-23 02:06:12
242,Banepa,27.6298,85.5214,62.6,55,20,2.3,NP,few clouds,2021-04-23 02:06:31
243,Hamilton,39.1834,-84.5333,42.01,70,1,4.12,US,clear sky,2021-04-23 02:02:29
244,Strathmore,51.0501,-113.3852,33.01,55,95,11.5,CA,overcast clouds,2021-04-23 02:05:23
245,Gorontalo,0.5412,123.0595,88.0,59,85,4.09,ID,overcast clouds,2021-04-23 02:06:31
246,Hulan Ergi,47.2042,123.6333,62.49,43,96,1.34,CN,overcast clouds,2021-04-23 02:06:32
247,Mercedes,-34.6515,-59.4307,68.0,90,100,1.01,AR,overcast clouds,2021-04-23 02:06:32
248,Aksu,41.1231,80.2644,50.22,25,4,9.31,CN,clear sky,2021-04-23 02:06:32
249,Molteno,-31.3968,26.3625,49.77,71,43,3.8,ZA,scattered clouds,2021-04-23 02:06:32
250,Zhob,31.3411,69.4481,58.69,67,0,7.67,PK,clear sky,2021-04-23 02:06:33
251,Mengcheng,33.2579,116.5655,63.45,67,78,9.69,CN,broken clouds,2021-04-23 02:06:33
252,Bonavista,48.6499,-53.1147,44.6,93,100,13.8,CA,light rain,2021-04-23 02:06:34
253,Sioux Lookout,50.1001,-91.917,55.4,28,20,5.75,CA,few clouds,2021-04-23 02:06:34
254,Vaitape,-16.5167,-151.75,81.27,73,13,13.89,PF,few clouds,2021-04-23 02:06:34
255,Half Moon Bay,37.4636,-122.4286,54.0,87,90,8.05,US,mist,2021-04-23 02:06:35
256,Esso,55.9333,158.7,37.02,99,89,1.25,RU,overcast clouds,2021-04-23 02:06:35
257,Porto Novo,6.4965,2.6036,84.2,84,40,6.91,BJ,scattered clouds,2021-04-23 02:06:35
258,Lac Du Bonnet,50.2536,-96.0612,46.65,58,4,3.98,CA,clear sky,2021-04-23 02:06:36
259,Coihaique,-45.5752,-72.0662,42.8,87,40,5.75,CL,scattered clouds,2021-04-23 02:06:36
260,Beringovskiy,63.05,179.3167,29.05,71,99,8.25,RU,overcast clouds,2021-04-23 02:06:36
261,Hasaki,35.7333,140.8333,64.0,51,20,9.22,JP,few clouds,2021-04-23 02:06:36
262,Geraldton,-28.7667,114.6,73.4,43,100,9.22,AU,overcast clouds,2021-04-23 02:06:37
263,Gigmoto,13.7796,124.39,85.1,69,92,4.83,PH,overcast clouds,2021-04-23 02:06:37
264,East London,-33.0153,27.9116,64.94,82,8,11.32,ZA,clear sky,2021-04-23 02:06:37
265,Papetoai,-17.4961,-149.8729,87.8,62,75,6.91,PF,light rain,2021-04-23 02:06:38
266,Ahipara,-35.1667,173.1667,68.4,72,93,7.78,NZ,overcast clouds,2021-04-23 02:06:38
267,Manadhoo,5.7667,73.3833,83.28,72,31,9.66,MV,scattered clouds,2021-04-23 02:06:39
268,Urucara,-2.5364,-57.76,74.71,95,99,1.77,BR,overcast clouds,2021-04-23 02:06:39
269,Ligayan,4.6533,119.4706,82.85,70,89,6.31,PH,overcast clouds,2021-04-23 02:06:39
270,Salinopolis,-0.6136,-47.3561,77.88,85,100,6.35,BR,overcast clouds,2021-04-23 02:06:40
271,Nishihara,26.1842,127.7558,71.6,100,90,29.93,JP,light rain,2021-04-23 02:06:40
272,Lengshuijiang,27.6881,111.4294,67.33,88,100,3.33,CN,light rain,2021-04-23 02:06:40
273,Tautira,-17.7333,-149.15,87.8,62,75,6.91,PF,light rain,2021-04-23 02:06:40
274,Biskamzha,53.4497,89.5272,29.34,68,69,7.99,RU,broken clouds,2021-04-23 02:06:41
275,Chapais,49.7834,-74.8492,30.2,47,90,18.41,CA,overcast clouds,2021-04-23 02:02:46
276,Beisfjord,68.3751,17.5988,28.4,93,20,1.14,NO,few clouds,2021-04-23 02:06:41
277,Mount Gambier,-37.8333,140.7667,59.0,72,75,9.22,AU,broken clouds,2021-04-23 02:06:42
278,Killybegs,54.6333,-8.45,41.36,65,25,7.92,IE,scattered clouds,2021-04-23 02:06:42
279,Broome,42.2506,-75.833,34.0,80,90,11.5,US,overcast clouds,2021-04-23 02:06:42
280,Jacareacanga,-6.2222,-57.7528,71.94,98,19,0.96,BR,few clouds,2021-04-23 02:06:43
281,Narsaq,60.9167,-46.05,42.8,45,40,2.3,GL,scattered clouds,2021-04-23 02:06:43
282,Carauari,-4.8828,-66.8958,73.58,97,99,2.35,BR,overcast clouds,2021-04-23 02:06:43
283,Atambua,-9.1061,124.8925,82.35,60,51,1.16,ID,broken clouds,2021-04-23 02:06:44
284,Rocha,-34.4833,-54.3333,62.11,91,100,10.65,UY,overcast clouds,2021-04-23 02:06:44
285,Urdoma,61.7533,48.5442,39.04,92,98,7.31,RU,overcast clouds,2021-04-23 02:06:44
286,Pankrushikha,53.8319,80.3406,35.08,65,7,10.67,RU,clear sky,2021-04-23 02:06:45
287,Viedma,-40.8135,-62.9967,57.94,76,66,6.71,AR,broken clouds,2021-04-23 02:06:45
288,Ambanja,-13.6833,48.45,75.02,81,100,2.57,MG,overcast clouds,2021-04-23 02:06:45
289,Price,39.5994,-110.8107,53.6,19,1,11.5,US,clear sky,2021-04-23 02:06:45
290,Colac,-38.3333,143.5833,55.0,95,71,10.98,AU,broken clouds,2021-04-23 02:06:46
291,Vostok,46.4856,135.8833,62.76,29,100,7.72,RU,overcast clouds,2021-04-23 02:06:46
292,Manggar,-2.8833,108.2667,85.86,62,39,7.7,ID,scattered clouds,2021-04-23 02:06:46
293,Tual,-5.6667,132.75,84.04,72,34,9.08,ID,scattered clouds,2021-04-23 02:06:47
294,Chuy,-33.6971,-53.4616,65.46,82,98,11.48,UY,overcast clouds,2021-04-23 02:06:48
295,Oga,46.4631,10.347,45.0,86,0,1.14,IT,clear sky,2021-04-23 02:06:48
296,Gamboma,-1.8764,15.8644,73.54,87,88,1.74,CG,overcast clouds,2021-04-23 02:06:49
297,Divnomorskoye,44.5011,38.1353,46.9,85,1,4.59,RU,clear sky,2021-04-23 02:06:49
298,Vagur,61.4732,-6.8119,43.2,73,100,4.43,FO,overcast clouds,2021-04-23 02:06:11
299,Guerrero Negro,27.9769,-114.0611,60.55,67,0,18.12,MX,clear sky,2021-04-23 02:06:49
300,Ingham,42.6,-84.3833,37.0,55,1,5.99,US,clear sky,2021-04-23 02:06:50
301,Tessalit,20.1986,1.0114,80.89,8,0,8.21,ML,clear sky,2021-04-23 02:02:10
302,Ordynskoye,54.3656,81.8994,35.19,70,8,10.56,RU,clear sky,2021-04-23 02:06:50
303,Do Gonbadan,30.3586,50.7981,64.4,45,0,2.93,IR,clear sky,2021-04-23 02:06:50
304,Klaksvik,62.2266,-6.589,41.0,87,75,4.9,FO,broken clouds,2021-04-23 02:06:51
305,Charters Towers,-20.1,146.2667,66.2,94,100,8.61,AU,overcast clouds,2021-04-23 02:06:51
306,Meulaboh,4.1363,96.1285,80.28,80,97,2.82,ID,overcast clouds,2021-04-23 02:06:51
307,Codrington,-38.2667,141.9667,59.18,62,99,13.65,AU,overcast clouds,2021-04-23 02:06:52
308,Manzanillo,20.3433,-77.1167,77.63,67,96,9.71,CU,overcast clouds,2021-04-23 02:06:52
309,Beyneu,45.3167,55.2,57.38,28,98,19.93,KZ,overcast clouds,2021-04-23 02:06:53
310,San Patricio,28.017,-97.5169,71.6,83,90,14.97,US,overcast clouds,2021-04-23 02:06:53
311,Bandarbeyla,9.4942,50.8122,81.39,77,86,2.82,SO,light rain,2021-04-23 02:06:53
312,Naze,28.3667,129.4833,71.6,68,75,19.57,JP,broken clouds,2021-04-23 02:06:54
313,Oktyabrskiy,54.4815,53.471,38.61,98,100,3.56,RU,overcast clouds,2021-04-23 02:06:54
314,Ulladulla,-35.35,150.4667,66.99,34,0,5.75,AU,clear sky,2021-04-23 02:06:54
315,San Quintin,30.4833,-115.95,58.59,74,6,15.43,MX,clear sky,2021-04-23 02:06:55
316,Berlevag,70.8578,29.0864,32.92,69,89,6.22,NO,overcast clouds,2021-04-23 02:06:55
317,Ogaminana,7.5946,6.2248,76.55,88,97,4.29,NG,overcast clouds,2021-04-23 02:06:55
318,Lorengau,-2.0226,147.2712,84.16,71,100,7.07,PG,light rain,2021-04-23 02:06:55
319,Miri,4.4148,114.0089,84.2,74,40,5.75,MY,scattered clouds,2021-04-23 02:06:56
320,Aleksandrovskoye,44.7142,43.0008,46.4,93,100,8.95,RU,overcast clouds,2021-04-23 02:06:56
321,Bridlington,54.0831,-0.1919,41.0,53,83,8.16,GB,broken clouds,2021-04-23 02:06:56
322,Nadym,65.5333,72.5167,32.59,85,46,19.35,RU,scattered clouds,2021-04-23 02:06:57
323,Burnie,-41.0667,145.9167,54.0,62,54,10.0,AU,broken clouds,2021-04-23 02:06:57
324,Pilane,-24.45,26.1333,50.0,81,0,3.44,BW,clear sky,2021-04-23 02:06:58
325,Nanton,50.3501,-113.7687,30.2,59,100,11.5,CA,overcast clouds,2021-04-23 02:06:58
326,Breves,-1.6822,-50.4803,73.31,98,100,2.8,BR,heavy intensity rain,2021-04-23 02:03:38
327,Pacific Grove,36.6177,-121.9166,52.0,90,70,1.01,US,broken clouds,2021-04-23 02:06:58
328,Russell,32.3502,-85.1999,55.4,71,1,2.35,US,clear sky,2021-04-23 02:06:59
329,Port Augusta,-32.5,137.7667,66.2,52,56,9.22,AU,broken clouds,2021-04-23 02:06:59
330,Tazovskiy,67.4667,78.7,30.02,86,95,17.18,RU,overcast clouds,2021-04-23 02:06:59
331,Tura,25.5198,90.2201,81.23,42,0,3.47,IN,clear sky,2021-04-23 02:07:00
332,Pimentel,-6.8367,-79.9342,64.0,86,26,5.01,PE,scattered clouds,2021-04-23 02:07:00
333,Mitsamiouli,-11.3847,43.2844,81.14,74,100,10.92,KM,light rain,2021-04-23 02:07:00
334,Kimberley,-28.7323,24.7623,48.2,87,15,3.44,ZA,few clouds,2021-04-23 02:07:00
335,Magadan,59.5667,150.8,31.26,98,100,8.05,RU,snow,2021-04-23 02:07:01
336,Cayenne,4.9333,-52.3333,80.01,89,75,4.61,GF,broken clouds,2021-04-23 02:07:01
337,Kuytun,54.3419,101.5036,35.28,43,98,6.55,RU,overcast clouds,2021-04-23 02:07:01
338,Constitucion,-35.3333,-72.4167,53.58,84,2,8.88,CL,clear sky,2021-04-23 02:07:02
339,Pinega,64.7001,43.3936,36.61,87,99,9.42,RU,overcast clouds,2021-04-23 02:07:02
340,Luorong,24.4058,109.6086,82.74,71,6,8.59,CN,clear sky,2021-04-23 02:07:02
341,Tongren,27.7172,109.1853,65.44,96,100,4.16,CN,overcast clouds,2021-04-23 02:07:03
342,Haines Junction,60.7522,-137.5108,51.8,20,0,4.61,CA,clear sky,2021-04-23 02:07:03
343,Chivay,-15.6383,-71.6011,45.88,63,99,1.48,PE,overcast clouds,2021-04-23 02:07:03
344,Nantucket,41.2835,-70.0995,42.8,36,1,18.41,US,clear sky,2021-04-23 02:07:04
345,Hualmay,-11.0964,-77.6139,67.15,87,3,9.8,PE,clear sky,2021-04-23 02:07:04
346,Sakaraha,-22.9,44.5333,65.64,79,0,4.99,MG,clear sky,2021-04-23 02:07:04
347,Warrington,53.3925,-2.5802,46.4,71,7,3.44,GB,clear sky,2021-04-23 02:03:19
348,Makakilo City,21.3469,-158.0858,84.2,47,90,4.61,US,overcast clouds,2021-04-23 02:07:05
349,Peniche,39.3558,-9.3811,60.01,81,100,4.0,PT,overcast clouds,2021-04-23 02:07:05
350,Shache,38.4167,77.2406,55.42,13,0,11.21,CN,clear sky,2021-04-23 02:07:05
351,Lasa,46.6166,10.7002,45.0,80,0,3.44,IT,clear sky,2021-04-23 02:07:05
352,Savda,21.15,75.8833,87.96,21,20,6.24,IN,few clouds,2021-04-23 02:07:06
353,Ust-Kulom,61.6864,53.6902,40.05,92,100,7.52,RU,overcast clouds,2021-04-23 02:07:06
354,Kieta,-6.2167,155.6333,80.67,82,100,2.17,PG,moderate rain,2021-04-23 02:07:06
355,Elat,29.5581,34.9482,69.8,30,87,18.41,IL,overcast clouds,2021-04-23 02:07:07
356,Barranca,-10.75,-77.7667,66.92,86,6,8.12,PE,clear sky,2021-04-23 02:07:07
357,Husavik,66.0449,-17.3389,35.6,93,0,3.44,IS,clear sky,2021-04-23 02:07:07
358,Young,-32.6833,-57.6333,70.0,83,100,4.0,UY,overcast clouds,2021-04-23 02:07:08
359,Yerbogachen,61.2767,108.0108,30.92,79,100,13.06,RU,overcast clouds,2021-04-23 02:07:08
360,Tromso,69.6496,18.957,32.0,80,75,6.91,NO,light snow,2021-04-23 02:04:12
361,Sisimiut,66.9395,-53.6735,28.67,58,47,8.21,GL,scattered clouds,2021-04-23 02:07:09
362,Namatanai,-3.6667,152.4333,81.37,78,66,3.42,PG,light rain,2021-04-23 02:07:09
363,Zarand,30.8127,56.564,65.62,24,1,3.62,IR,clear sky,2021-04-23 02:07:09
364,Kaiyuan,23.6977,103.3037,77.58,47,0,7.36,CN,clear sky,2021-04-23 02:07:10
365,Kruisfontein,-34.0033,24.7314,59.0,93,0,1.01,ZA,clear sky,2021-04-23 02:07:10
366,Spirit River,55.7833,-118.8361,37.0,32,29,3.44,CA,scattered clouds,2021-04-23 02:07:10
367,Krasnoborsk,61.5598,45.934,41.95,87,98,7.36,RU,overcast clouds,2021-04-23 02:07:11
368,Kapit,2.0167,112.9333,82.15,81,52,0.45,MY,broken clouds,2021-04-23 02:07:11
369,Boffa,10.1667,-14.0333,76.57,75,12,2.73,GN,few clouds,2021-04-23 02:07:11
370,Shelburne,44.0787,-80.2041,33.01,68,0,11.54,CA,clear sky,2021-04-23 02:07:12
371,Oussouye,12.485,-16.5469,73.4,88,0,4.61,SN,clear sky,2021-04-23 02:07:12
372,Khandyga,62.6667,135.6,22.14,75,100,5.23,RU,overcast clouds,2021-04-23 02:07:12
373,Zhenlai,45.8495,123.2973,54.43,71,100,11.63,CN,overcast clouds,2021-04-23 02:07:13
374,Pisco,-13.7,-76.2167,66.99,82,0,10.36,PE,clear sky,2021-04-23 02:04:50
375,General Pico,-35.6566,-63.7568,62.11,94,100,3.94,AR,moderate rain,2021-04-23 02:07:13
376,Salalah,17.0151,54.0924,78.8,73,0,3.44,OM,clear sky,2021-04-23 02:04:23
377,Ixtapa,20.7,-105.2,78.8,73,40,6.91,MX,scattered clouds,2021-04-23 02:07:13
378,Saint Anthony,45.0205,-93.218,57.2,26,1,3.44,US,clear sky,2021-04-23 02:07:14
379,Kang,-23.6752,22.7876,58.73,40,73,4.5,BW,broken clouds,2021-04-23 02:07:14
380,Kashi,39.4547,75.9797,50.0,13,0,8.95,CN,clear sky,2021-04-23 02:07:14
381,North Bend,43.4065,-124.2243,53.01,82,90,9.22,US,overcast clouds,2021-04-23 02:07:15
382,Jaisalmer,26.9147,70.9181,77.74,60,0,13.89,IN,clear sky,2021-04-23 02:07:15
383,Smolenka,52.1352,113.4974,35.6,21,100,11.18,RU,overcast clouds,2021-04-23 02:07:15
384,Krutinka,56.0055,71.5113,35.26,57,1,13.85,RU,clear sky,2021-04-23 02:07:16
385,Fare,-16.7,-151.0167,80.78,74,10,13.31,PF,clear sky,2021-04-23 02:07:16
386,Bail Hongal,15.8167,74.8667,69.8,88,20,4.61,IN,few clouds,2021-04-23 02:07:16
387,Tianmen,30.6516,113.1603,67.95,71,98,8.9,CN,overcast clouds,2021-04-23 02:07:17
388,Aldan,58.6031,125.3894,25.95,82,73,16.37,RU,broken clouds,2021-04-23 02:07:17
389,Nanortalik,60.1432,-45.2371,35.42,84,55,5.93,GL,broken clouds,2021-04-23 02:07:18
390,San Carlos De Bariloche,-41.1456,-71.3082,50.0,57,40,11.5,AR,scattered clouds,2021-04-23 02:07:18
391,Nyurba,63.2842,118.3319,30.67,81,99,13.82,RU,light snow,2021-04-23 02:07:18
392,Alyangula,-13.8483,136.4192,87.8,62,75,10.36,AU,broken clouds,2021-04-23 02:07:19
393,Mullovka,54.2,49.4,39.2,100,17,6.71,RU,few clouds,2021-04-23 02:07:19
394,Borogontsy,62.6683,131.1683,27.84,75,91,6.96,RU,overcast clouds,2021-04-23 02:07:19
395,Concepcion Del Oro,24.6333,-101.4167,69.35,9,16,10.96,MX,few clouds,2021-04-23 02:07:20
396,Cherskiy,68.75,161.3,18.09,86,92,7.05,RU,overcast clouds,2021-04-23 02:07:20
397,Warrensburg,38.7628,-93.7361,50.0,50,90,4.61,US,overcast clouds,2021-04-23 02:07:20
398,Kondinskoye,59.6481,67.41,40.62,67,100,13.11,RU,overcast clouds,2021-04-23 02:07:21
399,Chumikan,54.7183,135.315,36.28,78,100,2.19,RU,light snow,2021-04-23 02:07:21
400,Lifford,54.8319,-7.4836,33.93,82,0,2.68,IE,clear sky,2021-04-23 02:07:21
401,Luderitz,-26.6481,15.1594,65.82,66,16,6.91,NA,few clouds,2021-04-23 02:07:22
402,Mohpa,21.3167,78.8167,75.2,31,40,2.3,IN,haze,2021-04-23 02:07:22
403,Ban Nahin,18.2418,104.2122,92.01,50,34,3.09,LA,scattered clouds,2021-04-23 02:07:22
404,Honiton,50.7996,-3.189,39.99,75,0,2.3,GB,clear sky,2021-04-23 02:07:22
405,Chibombo,-14.6569,28.0706,57.09,96,0,4.27,ZM,clear sky,2021-04-23 02:07:23
406,Middelburg,-25.7751,29.4648,56.7,51,99,3.67,ZA,overcast clouds,2021-04-23 02:07:23
407,Polunochnoye,60.8697,60.4153,40.78,91,100,5.91,RU,overcast clouds,2021-04-23 02:07:24
408,El Campo,29.1966,-96.2697,69.01,73,90,6.91,US,overcast clouds,2021-04-23 02:07:24
409,Williams Lake,52.1415,-122.1445,44.6,23,1,10.36,CA,clear sky,2021-04-23 02:07:24
410,Williamsport,41.2412,-77.0011,41.0,38,90,11.5,US,overcast clouds,2021-04-23 02:07:25
411,Maine-Soroa,13.2114,12.0241,81.79,12,0,2.3,NE,clear sky,2021-04-23 02:07:25
412,Kasongo-Lunda,-6.4667,16.8167,66.94,96,100,0.89,CD,overcast clouds,2021-04-23 02:07:25
413,Betlitsa,54.0095,33.9588,44.01,94,85,9.17,RU,overcast clouds,2021-04-23 02:07:26
414,Saskylakh,71.9167,114.0833,9.19,93,95,7.2,RU,overcast clouds,2021-04-23 02:07:26
415,Talcahuano,-36.7167,-73.1167,50.0,93,0,3.44,CL,clear sky,2021-04-23 02:07:26
416,Winnemucca,40.973,-117.7357,64.4,13,20,17.27,US,few clouds,2021-04-23 02:03:53
417,Camacha,33.0833,-16.3333,66.2,82,40,14.97,PT,scattered clouds,2021-04-23 02:07:27
418,Veraval,20.9,70.3667,80.13,75,100,10.02,IN,overcast clouds,2021-04-23 02:06:08
419,Marsh Harbour,26.5412,-77.0636,75.79,67,5,10.51,BS,clear sky,2021-04-23 02:07:27
420,Lindi,-10.0,39.7167,75.2,94,20,12.66,TZ,few clouds,2021-04-23 02:07:27
421,Westport,41.1415,-73.3579,41.0,54,68,1.01,US,broken clouds,2021-04-23 02:07:28
422,Stonewall,50.1344,-97.3268,64.4,15,1,13.8,CA,clear sky,2021-04-23 02:07:28
423,Vila Franca Do Campo,37.7167,-25.4333,57.2,77,40,36.82,PT,scattered clouds,2021-04-23 02:07:29
424,Lom Sak,16.7798,101.2422,80.6,89,12,2.55,TH,few clouds,2021-04-23 02:07:29
425,Bairiki,1.3292,172.9752,87.8,70,40,5.75,KI,light rain,2021-04-23 02:07:29
426,Verin,41.9415,-7.4381,45.0,93,94,3.51,ES,overcast clouds,2021-04-23 02:07:29
427,Sigli,5.3848,95.9609,83.1,68,100,2.68,ID,overcast clouds,2021-04-23 02:07:30
428,Fram,-26.9833,-55.8833,73.4,78,0,4.61,PY,moderate rain,2021-04-23 02:07:30
429,Mazamari,-11.3258,-74.5308,70.32,94,46,2.26,PE,scattered clouds,2021-04-23 02:07:30
430,Buala,-8.145,159.5921,85.57,69,96,6.8,SB,overcast clouds,2021-04-23 02:07:31
431,Filingue,14.3521,3.3168,87.22,12,55,8.25,NE,broken clouds,2021-04-23 02:07:31
432,Ketchikan,55.3422,-131.6461,53.6,40,1,9.22,US,clear sky,2021-04-23 02:07:31
433,Blairmore,49.6,-114.4353,32.0,86,90,8.05,CA,light snow,2021-04-23 02:07:32
434,Pochutla,15.7432,-96.4661,86.0,58,10,1.01,MX,clear sky,2021-04-23 02:07:32
435,Awjilah,29.1081,21.2869,69.49,22,11,13.04,LY,few clouds,2021-04-23 02:07:32
436,Avera,33.194,-82.5271,50.0,53,1,4.34,US,clear sky,2021-04-23 02:07:33
437,Kirakira,-10.4544,161.9205,84.96,72,100,7.56,SB,overcast clouds,2021-04-23 02:07:33
438,Santa Maria,-29.6842,-53.8069,66.2,77,0,11.5,BR,clear sky,2021-04-23 02:03:07
439,Nola,40.922,14.5329,55.4,88,0,1.14,IT,light rain,2021-04-23 02:07:33
440,Zonguldak,41.25,31.8333,43.7,75,100,4.76,TR,overcast clouds,2021-04-23 02:04:34
441,Gubin,51.9496,14.7284,41.0,77,29,5.99,PL,scattered clouds,2021-04-23 02:07:34
442,Kachug,53.9606,105.8817,34.11,38,94,6.29,RU,overcast clouds,2021-04-23 02:07:34
443,Kupang,-10.1667,123.5833,83.32,65,3,0.43,ID,clear sky,2021-04-23 02:07:34
444,Kandrian,-6.2167,149.55,84.7,70,99,4.92,PG,light rain,2021-04-23 02:07:35
445,Wanning,18.8003,110.3967,83.89,68,7,8.66,CN,clear sky,2021-04-23 02:07:35
446,Yenangyaung,20.4667,94.8833,89.47,46,2,7.14,MM,clear sky,2021-04-23 02:07:35
447,Korla,41.7597,86.1469,42.8,46,100,15.08,CN,overcast clouds,2021-04-23 02:07:36
448,Havre-Saint-Pierre,50.2334,-63.5986,39.2,93,90,13.8,CA,overcast clouds,2021-04-23 02:07:36
449,Saldanha,-33.0117,17.9442,59.0,94,0,3.44,ZA,clear sky,2021-04-23 02:07:36
450,Mbandaka,0.0487,18.2603,73.67,83,72,1.86,CD,broken clouds,2021-04-23 02:07:36
451,Vasai,19.47,72.8,84.2,65,40,3.44,IN,haze,2021-04-23 02:04:14
452,Sao Gabriel Da Cachoeira,-0.1303,-67.0892,73.4,97,98,1.99,BR,moderate rain,2021-04-23 02:07:37
453,Darab,28.7519,54.5444,71.26,24,5,4.0,IR,clear sky,2021-04-23 02:07:37
454,Havoysund,70.9963,24.6622,32.0,74,40,6.91,NO,light snow,2021-04-23 02:07:38
455,Marsa Matruh,31.3525,27.2453,60.8,72,75,5.75,EG,broken clouds,2021-04-23 02:07:38
456,Shenjiamen,29.9576,122.298,61.84,98,100,7.16,CN,overcast clouds,2021-04-23 02:07:38
457,Vuktyl,63.8567,57.3094,39.42,89,100,12.57,RU,overcast clouds,2021-04-23 02:07:39
458,Makubetsu,45.3714,141.8211,41.0,93,20,6.91,JP,fog,2021-04-23 02:07:39
459,Blythe,33.6103,-114.5964,80.6,21,1,12.66,US,clear sky,2021-04-23 02:07:39
460,Praia Da Vitoria,38.7333,-27.0667,57.2,77,75,29.8,PT,broken clouds,2021-04-23 02:07:40
461,Lompoc,34.6391,-120.4579,53.6,71,1,10.36,US,clear sky,2021-04-23 02:07:40
462,Flin Flon,54.7682,-101.865,24.46,67,100,8.66,CA,overcast clouds,2021-04-23 02:07:40
